nH_cm2,nH_1e22,flux_medium_ph,flux_medium_erg
1e+19,0.001,0.0003609228160921781,8.902033225099586e-13
1.0272736385307947e+19,0.0010272736385307946,0.0003609166927318854,8.901890072205696e-13
1.055291128420298e+19,0.001055291128420298,0.0003609104024875672,8.901743017745694e-13
1.0840727572015876e+19,0.0010840727572015876,0.00036090394081444765,8.901591955460793e-13
1.1136393657225857e+19,0.0011136393657225857,0.0003608973030441709,8.9014367762025e-13
1.1440123632369576e+19,0.0011440123632369577,0.0003608904843814545,8.901277367854236e-13
1.1752137429066426e+19,0.0011752137429066427,0.0003608834799006441,8.901113615250913e-13
1.2072660977271007e+19,0.0012072660977271007,0.00036087628454218603,8.900945400096272e-13
1.2401926368869927e+19,0.0012401926368869928,0.000360868893108996,8.900772600878038e-13
1.2740172025740018e+19,0.0012740172025740017,0.0003608613002627355,8.900595092780796e-13
1.3087642872390193e+19,0.0013087642872390193,0.00036085350051998544,8.900412747596476e-13
1.3444590513311896e+19,0.0013444590513311896,0.00036084548824831856,8.900225433632453e-13
1.3811273415166515e+19,0.0013811273415166516,0.000360837257662264,8.900033015617262e-13
1.4187957093941742e+19,0.001418795709394174,0.0003608288028191669,8.899835354603571e-13
1.4574914307212214e+19,0.0014574914307212215,0.0003608201176149338,8.899632307868795e-13
1.4972425251644428e+19,0.0014972425251644427,0.00036081119577966386,8.899423728812827e-13
1.5380777765887121e+19,0.001538077776588712,0.00036080203087316727,8.899209466853208e-13
1.5800267538996412e+19,0.0015800267538996413,0.0003607926162803563,8.898989367317312e-13
1.623119832454485e+19,0.001623119832454485,0.0003607829452065183,8.898763271331745e-13
1.6673882160570126e+19,0.0016673882160570127,0.00036077301067246177,8.898531015708784e-13
1.7128639595522583e+19,0.0017128639595522582,0.00036076280550952886,8.898292432829705e-13
1.7595799920375124e+19,0.0017595799920375123,0.00036075232235447817,8.898047350525024e-13
1.8075701407063622e+19,0.0018075701407063622,0.00036074155364422853,8.897795591951582e-13
1.85686915534303e+19,0.0018568691553430298,0.000360730491610463,8.897536975466208e-13
1.907512733484838e+19,0.001907512733484838,0.00036071912827408863,8.897271314496154e-13
1.9595375462707917e+19,0.0019595375462707915,0.0003607074554395488,8.896998417405964e-13
2.0129812649953018e+19,0.002012981264995302,0.0003606954646889819,8.896718087360837e-13
2.0678825883860455e+19,0.0020678825883860457,0.0003606831473762267,8.896430122186307e-13
2.1242812706258104e+19,0.0021242812706258104,0.00036067049462066555,8.896134314224217e-13
2.182218150138596e+19,0.002182218150138596,0.0003606574973009071,8.895830450184815e-13
2.2417351791608156e+19,0.0022417351791608154,0.0003606441460482952,8.895518310994956e-13
2.3028754541190144e+19,0.0023028754541190143,0.00036063043124025143,8.895197671642212e-13
2.3656832468360765e+19,0.0023656832468360767,0.0003606163429934362,8.89486830101481e-13
2.4302040365886407e+19,0.0024302040365886406,0.0003606018711567293,8.894529961737467e-13
2.4964845430386373e+19,0.0024964845430386373,0.0003605870053040265,8.89418241000262e-13
2.5645727600631894e+19,0.0025645727600631892,0.0003605717347268397,8.893825395397411e-13
2.6345179905070756e+19,0.0026345179905070755,0.00036055604842670725,8.893458660725917e-13
2.706370881883041e+19,0.002706370881883041,0.0003605399351073992,8.893081941826719e-13
2.7801834630457872e+19,0.0027801834630457874,0.0003605233831669177,8.8926949673857e-13
2.8560091818661913e+19,0.0028560091818661914,0.0003605063806892853,8.892297458743744e-13
2.9339029439330402e+19,0.00293390294393304,0.0003604889154361166,8.89188912969951e-13
3.0139211523102798e+19,0.00301392115231028,0.00036047097483796767,8.891469686306842e-13
3.0961217483787067e+19,0.003096121748378707,0.00036045254598545735,8.891038826666992e-13
3.1805642537913197e+19,0.00318056425379132,0.0003604336156201553,8.890596240715174e-13
3.2673098135731913e+19,0.0032673098135731914,0.0003604141701252285,8.89014161000167e-13
3.3564212403967046e+19,0.0033564212403967048,0.0003603941955158423,8.889674607467061e-13
3.447963060064366e+19,0.0034479630600643663,0.0003603736774293129,8.889194897211534e-13
3.5420015582320943e+19,0.003542001558232094,0.0003603526011149946,8.888702134258265e-13
3.6386048284068282e+19,0.003638604828406828,0.0003603309514239095,8.888195964310408e-13
3.7378428212532e+19,0.0037378428212532003,0.0003603087127981009,8.887676023501826e-13
3.8397873952449544e+19,0.0038397873952449543,0.00036028586925971,8.887141938141297e-13
3.9445123686979674e+19,0.003944512368697968,0.0003602624043997669,8.886593324449958e-13
4.052093573222085e+19,0.004052093573222085,0.00036023830136668993,8.886029788291914e-13
4.1626089086311e+19,0.0041626089086311,0.00036021354285448615,8.885450924897863e-13
4.2761383993501704e+19,0.004276138399350171,0.0003601881110906413,8.884856318581486e-13
4.3927642523616985e+19,0.004392764252361699,0.0003601619878237005,8.884245542448415e-13
4.512570916731608e+19,0.004512570916731609,0.0003601351543105232,8.883618158097678e-13
4.635645144759123e+19,0.004635645144759123,0.0003601075913032086,8.882973715315396e-13
4.762076054794317e+19,0.004762076054794317,0.00036007927903568276,8.882311751760535e-13
4.89195519576889e+19,0.004891955195768891,0.0003600501972099421,8.88163179264248e-13
5.0253766134871335e+19,0.005025376613487133,0.00036002032498193797,8.880933350390335e-13
5.162436918724491e+19,0.005162436918724491,0.0003599896409471006,8.880215924313672e-13
5.303235357183812e+19,0.005303235357183813,0.00035995812312549126,8.879479000254496e-13
5.447873881359374e+19,0.005447873881359374,0.000359925748946571,8.878722050230306e-13
5.596457224360927e+19,0.005596457224360927,0.0003598924952335836,8.877944532067998e-13
