nH_cm2,nH_1e22,flux_hard_ph,flux_hard_erg
1e+19,0.001,0.0004554308676636675,2.6286573227430073e-12
1.0272736385307947e+19,0.0010272736385307946,0.0004554295739380433,2.628651703175488e-12
1.055291128420298e+19,0.001055291128420298,0.00045542824493392434,2.6286459303652948e-12
1.0840727572015876e+19,0.0010840727572015876,0.00045542687968947614,2.62864000013424e-12
1.1136393657225857e+19,0.0011136393657225857,0.00045542547721664996,2.6286339081902514e-12
1.1440123632369576e+19,0.0011440123632369577,0.000455424036500467,2.6286276501242598e-12
1.1752137429066426e+19,0.0011752137429066427,0.00045542255649829057,2.6286212214070357e-12
1.2072660977271007e+19,0.0012072660977271007,0.0004554210361390663,2.6286146173859057e-12
1.2401926368869927e+19,0.0012401926368869928,0.00045541947432255377,2.6286078332813817e-12
1.2740172025740018e+19,0.0012740172025740017,0.00045541786991852833,2.6286008641837245e-12
1.3087642872390193e+19,0.0013087642872390193,0.000455416221765966,2.628593705049378e-12
1.3444590513311896e+19,0.0013444590513311896,0.0004554145286722025,2.628586350697339e-12
1.3811273415166515e+19,0.0013811273415166516,0.00045541278941207914,2.6285787958054113e-12
1.4187957093941742e+19,0.001418795709394174,0.0004554110027270478,2.6285710349063576e-12
1.4574914307212214e+19,0.0014574914307212215,0.0004554091673242703,2.6285630623839435e-12
1.4972425251644428e+19,0.0014972425251644427,0.00045540728187567993,2.6285548724689026e-12
1.5380777765887121e+19,0.001538077776588712,0.0004554053450170259,2.628546459234746e-12
1.5800267538996412e+19,0.0015800267538996413,0.0004554033553468862,2.628537816593494e-12
1.623119832454485e+19,0.001623119832454485,0.00045540131142565726,2.628528938291279e-12
1.6673882160570126e+19,0.0016673882160570127,0.0004553992117745117,2.6285198179038285e-12
1.7128639595522583e+19,0.0017128639595522582,0.0004553970548743369,2.6285104488318198e-12
1.7595799920375124e+19,0.0017595799920375123,0.0004553948391646323,2.6285008242961255e-12
1.8075701407063622e+19,0.0018075701407063622,0.0004553925630423876,2.6284909373329212e-12
1.85686915534303e+19,0.0018568691553430298,0.00045539022486092357,2.6284807807886396e-12
1.907512733484838e+19,0.001907512733484838,0.0004553878229287065,2.628470347314826e-12
1.9595375462707917e+19,0.0019595375462707915,0.0004553853555081234,2.6284596293628257e-12
2.0129812649953018e+19,0.002012981264995302,0.00045538282081423244,2.6284486191783475e-12
2.0678825883860455e+19,0.0020678825883860457,0.00045538021701347665,2.628437308795842e-12
2.1242812706258104e+19,0.0021242812706258104,0.00045537754222235504,2.6284256900327837e-12
2.182218150138596e+19,0.002182218150138596,0.00045537479450607175,2.628413754483749e-12
2.2417351791608156e+19,0.0022417351791608154,0.00045537197187713567,2.628401493514351e-12
2.3028754541190144e+19,0.0023028754541190143,0.0004553690722939305,2.6283888982550367e-12
2.3656832468360765e+19,0.0023656832468360767,0.00045536609365924146,2.6283759595946503e-12
2.4302040365886407e+19,0.0024302040365886406,0.0004553630338187445,2.6283626681738898e-12
2.4964845430386373e+19,0.0024964845430386373,0.00045535989055945166,2.628349014378546e-12
2.5645727600631894e+19,0.0025645727600631892,0.0004553566616081191,2.62833498833258e-12
2.6345179905070756e+19,0.0026345179905070755,0.0004553533446296077,2.628320579890998e-12
2.706370881883041e+19,0.002706370881883041,0.00045534993722519954,2.6283057786325282e-12
2.7801834630457872e+19,0.0027801834630457874,0.0004553464369308734,2.628290573852126e-12
2.8560091818661913e+19,0.0028560091818661914,0.00045534284121552656,2.6282749545532465e-12
2.9339029439330402e+19,0.00293390294393304,0.00045533914747915316,2.628258909439927e-12
3.0139211523102798e+19,0.00301392115231028,0.00045533535305097215,2.6282424269086444e-12
3.0961217483787067e+19,0.003096121748378707,0.0004553314551875076,2.62822549503996e-12
3.1805642537913197e+19,0.00318056425379132,0.00045532745107060735,2.628208101589929e-12
3.2673098135731913e+19,0.0032673098135731914,0.00045532333780542186,2.6281902339812775e-12
3.3564212403967046e+19,0.0033564212403967048,0.00045531911241831514,2.6281718792943663e-12
3.447963060064366e+19,0.0034479630600643663,0.00045531477185473004,2.628153024257868e-12
3.5420015582320943e+19,0.003542001558232094,0.0004553103129769888,2.628133655239213e-12
3.6386048284068282e+19,0.003638604828406828,0.0004553057325620366,2.6281137582347974e-12
3.7378428212532e+19,0.0037378428212532003,0.00045530102729912615,2.6280933188598866e-12
3.8397873952449544e+19,0.0038397873952449543,0.00045529619378743234,2.6280723223382635e-12
3.9445123686979674e+19,0.003944512368697968,0.0004552912285336138,2.6280507534916125e-12
4.052093573222085e+19,0.004052093573222085,0.00045528612794930003,2.6280285967285965e-12
4.1626089086311e+19,0.0041626089086311,0.0004552808883485108,2.6280058360336437e-12
4.2761383993501704e+19,0.004276138399350171,0.0004552755059450142,2.6279824549554234e-12
4.3927642523616985e+19,0.004392764252361699,0.0004552699768496014,2.627958436595039e-12
4.512570916731608e+19,0.004512570916731609,0.0004552642970672986,2.627933763593858e-12
4.635645144759123e+19,0.004635645144759123,0.0004552584624944966,2.6279084181210652e-12
4.762076054794317e+19,0.004762076054794317,0.0004552524689160072,2.6278823818608243e-12
4.89195519576889e+19,0.004891955195768891,0.00045524631200203757,2.6278556359991535e-12
5.0253766134871335e+19,0.005025376613487133,0.0004552399873050873,2.627828161210388e-12
5.162436918724491e+19,0.005162436918724491,0.0004552334902567564,2.6277999376433136e-12
5.303235357183812e+19,0.005303235357183813,0.00045522681616446846,2.627770944906923e-12
5.447873881359374e+19,0.005447873881359374,0.0004552199602081136,2.627741162055778e-12
