nH_cm2,nH_1e22,flux_soft_ph,flux_soft_erg
1e+19,0.001,0.0014431652387204078,2.209136337204662e-12
1.0272736385307947e+19,0.0010272736385307946,0.0014430466306015726,2.2090007455494052e-12
1.055291128420298e+19,0.001055291128420298,0.001442924802743964,2.2088614709866533e-12
1.0840727572015876e+19,0.0010840727572015876,0.0014427996681681031,2.208718413906647e-12
1.1136393657225857e+19,0.0011136393657225857,0.0014426711375682077,2.208571472028968e-12
1.1440123632369576e+19,0.0011440123632369577,0.0014425391192512632,2.2084205403322316e-12
1.1752137429066426e+19,0.0011752137429066427,0.0014424035190745772,2.208265510982009e-12
1.2072660977271007e+19,0.0012072660977271007,0.0014422642403817837,2.208106273256906e-12
1.2401926368869927e+19,0.0012401926368869928,0.0014421211839372333,2.207942713472803e-12
1.2740172025740018e+19,0.0012740172025740017,0.001441974247858783,2.2077747149051887e-12
1.3087642872390193e+19,0.0013087642872390193,0.0014418233275488891,2.2076021577095305e-12
1.3444590513311896e+19,0.0013444590513311896,0.001441668315624053,2.20742491883967e-12
1.3811273415166515e+19,0.0013811273415166516,0.0014415091018424703,2.207242871964181e-12
1.4187957093941742e+19,0.001418795709394174,0.0014413455730299576,2.2070558873806414e-12
1.4574914307212214e+19,0.0014574914307212215,0.0014411776130040382,2.2068638319277733e-12
1.4972425251644428e+19,0.0014972425251644427,0.001441005102496207,2.2066665688954394e-12
1.5380777765887121e+19,0.001538077776588712,0.001440827919072264,2.2064639579323722e-12
1.5800267538996412e+19,0.0015800267538996413,0.001440645937050793,2.2062558549516853e-12
1.623119832454485e+19,0.001623119832454485,0.0014404590274195983,2.206042112034028e-12
1.6673882160570126e+19,0.0016673882160570127,0.0014402670577502055,2.205822577328403e-12
1.7128639595522583e+19,0.0017128639595522582,0.001440069892110272,2.2055970949505553e-12
1.7595799920375124e+19,0.0017595799920375123,0.0014398673909739304,2.2053655048788992e-12
1.8075701407063622e+19,0.0018075701407063622,0.0014396594111300226,2.2051276428479345e-12
1.85686915534303e+19,0.0018568691553430298,0.001439445805588149,2.204883340239076e-12
1.907512733484838e+19,0.001907512733484838,0.0014392264234825132,2.2046324239689063e-12
1.9595375462707917e+19,0.0019595375462707915,0.0014390011099735438,2.204374716374704e-12
2.0129812649953018e+19,0.002012981264995302,0.0014387697061471953,2.2041100350973154e-12
2.0678825883860455e+19,0.0020678825883860457,0.0014385320489119576,2.203838192961168e-12
2.1242812706258104e+19,0.0021242812706258104,0.0014382879708934586,2.2035589978515435e-12
2.182218150138596e+19,0.002182218150138596,0.001438037300326698,2.2032722525888995e-12
2.2417351791608156e+19,0.0022417351791608154,0.0014377798609457885,2.2029777548002833e-12
2.3028754541190144e+19,0.0023028754541190143,0.0014375154718712481,2.202675296787785e-12
2.3656832468360765e+19,0.0023656832468360767,0.0014372439474947157,2.2023646653938867e-12
2.4302040365886407e+19,0.0024302040365886406,0.001436965097361144,2.2020456418637584e-12
2.4964845430386373e+19,0.0024964845430386373,0.0014366787260483391,2.2017180017044114e-12
2.5645727600631894e+19,0.0025645727600631892,0.0014363846330438669,2.201381514540597e-12
2.6345179905070756e+19,0.0026345179905070755,0.001436082612619285,2.2010359439675295e-12
2.706370881883041e+19,0.002706370881883041,0.0014357724537016323,2.2006810474001985e-12
2.7801834630457872e+19,0.0027801834630457874,0.001435453939742146,2.2003165759194206e-12
2.8560091818661913e+19,0.0028560091818661914,0.0014351268485822083,2.1999422741144067e-12
2.9339029439330402e+19,0.00293390294393304,0.0014347909523164395,2.1995578799218995e-12
3.0139211523102798e+19,0.00301392115231028,0.0014344460171529382,2.199163124461781e-12
3.0961217483787067e+19,0.003096121748378707,0.0014340918032705956,2.1987577318691204e-12
3.1805642537913197e+19,0.00318056425379132,0.0014337280646735144,2.198341419122603e-12
3.2673098135731913e+19,0.0032673098135731914,0.001433354549042454,2.1979138958693214e-12
3.3564212403967046e+19,0.0033564212403967048,0.001432970997583284,2.1974748642458292e-12
3.447963060064366e+19,0.0034479630600643663,0.0014325771448724268,2.1970240186954674e-12
3.5420015582320943e+19,0.003542001558232094,0.00143217271869929,2.1965610457818824e-12
3.6386048284068282e+19,0.003638604828406828,0.001431757439905614,2.196085623998732e-12
3.7378428212532e+19,0.0037378428212532003,0.0014313310222217577,2.1955974235754906e-12
3.8397873952449544e+19,0.0038397873952449543,0.0014308931720999163,2.1950961062793813e-12
3.9445123686979674e+19,0.003944512368697968,0.001430443588544201,2.1945813252133343e-12
4.052093573222085e+19,0.004052093573222085,0.0014299819629376518,2.194052724609997e-12
4.1626089086311e+19,0.0041626089086311,0.001429507978866112,2.193509939621726e-12
4.2761383993501704e+19,0.004276138399350171,0.0014290213119389928,2.1929525961065725e-12
4.3927642523616985e+19,0.004392764252361699,0.0014285216296069433,2.19238031041021e-12
4.512570916731608e+19,0.004512570916731609,0.0014280085909763964,2.191792689143818e-12
4.635645144759123e+19,0.004635645144759123,0.0014274818466210267,2.191189328957861e-12
4.762076054794317e+19,0.004762076054794317,0.0014269410383901638,2.1905698163118126e-12
4.89195519576889e+19,0.004891955195768891,0.0014263857992141155,2.1899337272398087e-12
5.0253766134871335e+19,0.005025376613487133,0.0014258157529065034,2.1892806271121682e-12
5.162436918724491e+19,0.005162436918724491,0.001425230513963586,2.1886100703928907e-12
5.303235357183812e+19,0.005303235357183813,0.0014246296873606753,2.187921600393072e-12
5.447873881359374e+19,0.005447873881359374,0.0014240128683456212,2.1872147490202795e-12
5.596457224360927e+19,0.005596457224360927,0.0014233796422295,2.1864890365239262e-12
5.7490929757512016e+19,0.005749092975751202,0.001422729584174494,2.1857439712366786e-12
5.905891659451771e+19,0.005905891659451771,0.0014220622589791107,2.184979049311914e-12
6.066966813773694e+19,0.006066966813773693,0.0014213772208607656,2.184193754457315e-12
6.232435073630834e+19,0.006232435073630834,0.0014206740132358577,2.183387557664635e-12
6.402416254995689e+19,0.006402416254995689,0.001419952168497442,2.182559916935746e-12
6.5770334416581255e+19,0.006577033441658125,0.0014192112077905748,2.1817102770049915e-12
6.7564130743508574e+19,0.006756413074350857,0.0014184506407855112,2.1808380690579876e-12
6.9406850423054385e+19,0.006940685042305439,0.0014176699654488557,2.179942710446962e-12
7.129982777305371e+19,0.00712998277730537,0.0014168686678128369,2.1790236044027304e-12
7.3244433503043895e+19,0.00732444335030439,0.0014160462217428795,2.178080139743466e-12
7.524207570679874e+19,0.007524207570679874,0.0014152020887036047,2.177111690580403e-12
7.729420088193266e+19,0.007729420088193267,0.001414335717523536,2.1761176160206076e-12
7.940229497731247e+19,0.007940229497731247,0.0014134465441586596,2.175097259867021e-12
8.156788446903924e+19,0.008156788446903923,0.0014125339914550826,2.174049950315973e-12
8.379253746576944e+19,0.008379253746576944,0.0014115974689110622,2.1729749996523182e-12
